month,p_market_eur_mwh,wind_mwh,price_x_wind,p_wind_capture_eur_mwh,capture_factor
2015-01-01,31.05307098765432,7830853.25,193848426.705,24.754445079787445,0.7971657646881044
2015-02-01,36.71691964285714,5325677.75,169937033.715,31.908996693425546,0.8690542944179981
2015-03-01,31.34314939434724,7010958.25,181407454.6275,25.87484451608309,0.8255342879088481
2015-04-01,29.724375,5157796.5,133846308.9275,25.950288835067454,0.8730305964403778
2015-05-01,25.357916666666668,5105062.25,117917513.8575,23.098153966193067,0.9108853171899531
2015-06-01,30.06438888888889,3871212.5,108847568.965,28.117177490256605,0.9352319647730498
2015-07-01,34.99568548387097,5401805.25,159520997.85,29.531053132654122,0.8438483980050792
2015-08-01,31.605094086021502,3553163.75,105496375.725,29.690828553848664,0.9394317407515805
2015-09-01,31.881319444444443,5328808.5,149441333.1175,28.044042700633735,0.8796387097310245
2015-10-01,39.38145161290323,3438960.5,126051994.9375,36.654097927993064,0.9307452220979952
2015-11-01,32.389375,9763092.0,264461081.3275,27.087840750399565,0.8363187233591128
2015-12-01,27.780604838709678,10359892.25,247403719.2625,23.880916257840422,0.8596254975904842
2016-01-01,29.035524193548387,8406655.5,205866880.8525,24.488559196044132,0.843399934260027
2016-02-01,21.989554597701147,9366679.75,174598047.8475,18.640334943393363,0.8476904277698321
2016-03-01,24.30504710632571,5710792.5,122859575.4525,21.513577222863553,0.885148550782457
2016-04-01,24.21348611111111,5587231.75,129803828.425,23.232225587385024,0.9594746283445817
2016-05-01,22.53751009421265,5706867.75,108069163.365,18.936686129619876,0.840229734804759
2016-06-01,27.596571018651364,2902409.5,77164302.4125,26.586290601825826,0.9633910888369888
2016-07-01,27.188306451612902,4302145.75,103319912.6825,24.01590245576873,0.8833173371246897
2016-08-01,27.182567204301076,4262079.75,108755321.68,25.516960746687108,0.9387251967374729
2016-09-01,30.493861111111112,3729333.5,103678159.8375,27.80072091635141,0.9116825453835887
2016-10-01,37.17476388888889,4488192.0,152182293.42,33.907260077109,0.9121042484211579
2016-11-01,38.222541666666665,7267011.75,240768630.505,33.13172439895945,0.8668111264786234
2016-12-01,37.477889784946235,8416867.75,209774365.61,24.92309156336691,0.6650078674754464
2017-01-01,52.372956989247314,7186927.25,299615871.055,41.68900847785818,0.796002572213315
2017-02-01,39.70160714285714,8439755.75,278465181.54,32.99445976739315,0.8310610612983536
